Capacity,StartTimestamp,EndTimestamp,ReferenceLocationName,ReferenceLocationType,ReferenceLocationRole
12,2019-07-14T00:00:00.000Z,2019-07-14T23:59:00.000Z,EDDR,AD,D
12,2019-07-15T00:00:00.000Z,2019-07-15T23:59:00.000Z,EDDR,AD,D
12,2019-07-16T00:00:00.000Z,2019-07-16T23:59:00.000Z,EDDR,AD,D
12,2019-07-17T00:00:00.000Z,2019-07-17T23:59:00.000Z,EDDR,AD,D
15,2019-06-20T00:00:00.000Z,2019-06-20T23:59:00.000Z,EHGG,AD,G
15,2019-06-21T00:00:00.000Z,2019-06-21T23:59:00.000Z,EHGG,AD,G
15,2019-06-22T00:00:00.000Z,2019-06-22T23:59:00.000Z,EHGG,AD,G
15,2019-06-23T00:00:00.000Z,2019-06-23T23:59:00.000Z,EHGG,AD,G
15,2019-06-24T00:00:00.000Z,2019-06-24T23:59:00.000Z,EHGG,AD,G
15,2019-06-25T00:00:00.000Z,2019-06-25T23:59:00.000Z,EHGG,AD,G
15,2019-06-26T00:00:00.000Z,2019-06-26T23:59:00.000Z,EHGG,AD,G
15,2019-06-27T00:00:00.000Z,2019-06-27T23:59:00.000Z,EHGG,AD,G
15,2019-06-28T00:00:00.000Z,2019-06-28T23:59:00.000Z,EHGG,AD,G
15,2019-06-29T00:00:00.000Z,2019-06-29T23:59:00.000Z,EHGG,AD,G
15,2019-06-30T00:00:00.000Z,2019-06-30T23:59:00.000Z,EHGG,AD,G
15,2019-07-01T00:00:00.000Z,2019-07-01T23:59:00.000Z,EHGG,AD,G
15,2019-07-02T00:00:00.000Z,2019-07-02T23:59:00.000Z,EHGG,AD,G
15,2019-07-03T00:00:00.000Z,2019-07-03T23:59:00.000Z,EHGG,AD,G
15,2019-07-04T00:00:00.000Z,2019-07-04T23:59:00.000Z,EHGG,AD,G
15,2019-07-05T00:00:00.000Z,2019-07-05T23:59:00.000Z,EHGG,AD,G
15,2019-07-06T00:00:00.000Z,2019-07-06T23:59:00.000Z,EHGG,AD,G
15,2019-07-07T00:00:00.000Z,2019-07-07T23:59:00.000Z,EHGG,AD,G
15,2019-07-08T00:00:00.000Z,2019-07-08T23:59:00.000Z,EHGG,AD,G
15,2019-07-09T00:00:00.000Z,2019-07-09T23:59:00.000Z,EHGG,AD,G
15,2019-07-10T00:00:00.000Z,2019-07-10T23:59:00.000Z,EHGG,AD,G
15,2019-07-11T00:00:00.000Z,2019-07-11T23:59:00.000Z,EHGG,AD,G
15,2019-07-12T00:00:00.000Z,2019-07-12T23:59:00.000Z,EHGG,AD,G
15,2019-07-13T00:00:00.000Z,2019-07-13T23:59:00.000Z,EHGG,AD,G
15,2019-07-14T00:00:00.000Z,2019-07-14T23:59:00.000Z,EHGG,AD,G
15,2019-07-15T00:00:00.000Z,2019-07-15T23:59:00.000Z,EHGG,AD,G
15,2019-07-16T00:00:00.000Z,2019-07-16T23:59:00.000Z,EHGG,AD,G
15,2019-07-17T00:00:00.000Z,2019-07-17T23:59:00.000Z,EHGG,AD,G
28,2019-06-20T00:00:00.000Z,2019-06-20T23:59:00.000Z,LEIB,AD,G
28,2019-06-21T00:00:00.000Z,2019-06-21T23:59:00.000Z,LEIB,AD,G
28,2019-06-22T00:00:00.000Z,2019-06-22T23:59:00.000Z,LEIB,AD,G
28,2019-06-23T00:00:00.000Z,2019-06-23T23:59:00.000Z,LEIB,AD,G
28,2019-06-24T00:00:00.000Z,2019-06-24T23:59:00.000Z,LEIB,AD,G
28,2019-06-25T00:00:00.000Z,2019-06-25T23:59:00.000Z,LEIB,AD,G
28,2019-06-26T00:00:00.000Z,2019-06-26T23:59:00.000Z,LEIB,AD,G
28,2019-06-27T00:00:00.000Z,2019-06-27T23:59:00.000Z,LEIB,AD,G
28,2019-06-28T00:00:00.000Z,2019-06-28T23:59:00.000Z,LEIB,AD,G
28,2019-06-29T00:00:00.000Z,2019-06-29T23:59:00.000Z,LEIB,AD,G
28,2019-06-30T00:00:00.000Z,2019-06-30T23:59:00.000Z,LEIB,AD,G
28,2019-07-01T00:00:00.000Z,2019-07-01T23:59:00.000Z,LEIB,AD,G
28,2019-07-02T00:00:00.000Z,2019-07-02T23:59:00.000Z,LEIB,AD,G
28,2019-07-03T00:00:00.000Z,2019-07-03T23:59:00.000Z,LEIB,AD,G
28,2019-07-04T00:00:00.000Z,2019-07-04T23:59:00.000Z,LEIB,AD,G
28,2019-07-05T00:00:00.000Z,2019-07-05T23:59:00.000Z,LEIB,AD,G
28,2019-07-06T00:00:00.000Z,2019-07-06T23:59:00.000Z,LEIB,AD,G
28,2019-07-07T00:00:00.000Z,2019-07-07T23:59:00.000Z,LEIB,AD,G
28,2019-07-08T00:00:00.000Z,2019-07-08T23:59:00.000Z,LEIB,AD,G
28,2019-07-09T00:00:00.000Z,2019-07-09T23:59:00.000Z,LEIB,AD,G
28,2019-07-10T00:00:00.000Z,2019-07-10T23:59:00.000Z,LEIB,AD,G
28,2019-07-11T00:00:00.000Z,2019-07-11T23:59:00.000Z,LEIB,AD,G
28,2019-07-12T00:00:00.000Z,2019-07-12T23:59:00.000Z,LEIB,AD,G
28,2019-07-13T00:00:00.000Z,2019-07-13T23:59:00.000Z,LEIB,AD,G
28,2019-07-14T00:00:00.000Z,2019-07-14T23:59:00.000Z,LEIB,AD,G
28,2019-07-15T00:00:00.000Z,2019-07-15T23:59:00.000Z,LEIB,AD,G
28,2019-07-16T00:00:00.000Z,2019-07-16T23:59:00.000Z,LEIB,AD,G
28,2019-07-17T00:00:00.000Z,2019-07-17T23:59:00.000Z,LEIB,AD,G
6,2019-06-20T00:00:00.000Z,2019-06-20T23:59:00.000Z,LFPN,AD,A
6,2019-06-21T00:00:00.000Z,2019-06-21T23:59:00.000Z,LFPN,AD,A
6,2019-06-22T00:00:00.000Z,2019-06-22T23:59:00.000Z,LFPN,AD,A
6,2019-06-23T00:00:00.000Z,2019-06-23T23:59:00.000Z,LFPN,AD,A
6,2019-06-24T00:00:00.000Z,2019-06-24T23:59:00.000Z,LFPN,AD,A
6,2019-06-25T00:00:00.000Z,2019-06-25T23:59:00.000Z,LFPN,AD,A
6,2019-06-26T00:00:00.000Z,2019-06-26T23:59:00.000Z,LFPN,AD,A
6,2019-06-27T00:00:00.000Z,2019-06-27T23:59:00.000Z,LFPN,AD,A
6,2019-06-28T00:00:00.000Z,2019-06-28T23:59:00.000Z,LFPN,AD,A
6,2019-06-29T00:00:00.000Z,2019-06-29T23:59:00.000Z,LFPN,AD,A
6,2019-06-30T00:00:00.000Z,2019-06-30T23:59:00.000Z,LFPN,AD,A
6,2019-07-01T00:00:00.000Z,2019-07-01T23:59:00.000Z,LFPN,AD,A
6,2019-07-02T00:00:00.000Z,2019-07-02T23:59:00.000Z,LFPN,AD,A
6,2019-07-03T00:00:00.000Z,2019-07-03T23:59:00.000Z,LFPN,AD,A
6,2019-07-04T00:00:00.000Z,2019-07-04T23:59:00.000Z,LFPN,AD,A
6,2019-07-05T00:00:00.000Z,2019-07-05T23:59:00.000Z,LFPN,AD,A
6,2019-07-06T00:00:00.000Z,2019-07-06T23:59:00.000Z,LFPN,AD,A
6,2019-07-07T00:00:00.000Z,2019-07-07T23:59:00.000Z,LFPN,AD,A
6,2019-07-08T00:00:00.000Z,2019-07-08T23:59:00.000Z,LFPN,AD,A
6,2019-07-09T00:00:00.000Z,2019-07-09T23:59:00.000Z,LFPN,AD,A
6,2019-07-10T00:00:00.000Z,2019-07-10T23:59:00.000Z,LFPN,AD,A
6,2019-07-11T00:00:00.000Z,2019-07-11T23:59:00.000Z,LFPN,AD,A
6,2019-07-12T00:00:00.000Z,2019-07-12T23:59:00.000Z,LFPN,AD,A
6,2019-07-13T00:00:00.000Z,2019-07-13T23:59:00.000Z,LFPN,AD,A
6,2019-07-14T00:00:00.000Z,2019-07-14T23:59:00.000Z,LFPN,AD,A
6,2019-07-15T00:00:00.000Z,2019-07-15T23:59:00.000Z,LFPN,AD,A
6,2019-07-16T00:00:00.000Z,2019-07-16T23:59:00.000Z,LFPN,AD,A
6,2019-07-17T00:00:00.000Z,2019-07-17T23:59:00.000Z,LFPN,AD,A
6,2019-06-20T00:00:00.000Z,2019-06-20T23:59:00.000Z,LIPE4,AZ,A
6,2019-06-21T00:00:00.000Z,2019-06-21T23:59:00.000Z,LIPE4,AZ,A
6,2019-06-22T00:00:00.000Z,2019-06-22T23:59:00.000Z,LIPE4,AZ,A
6,2019-06-23T00:00:00.000Z,2019-06-23T23:59:00.000Z,LIPE4,AZ,A
6,2019-06-24T00:00:00.000Z,2019-06-24T23:59:00.000Z,LIPE4,AZ,A
6,2019-06-25T00:00:00.000Z,2019-06-25T23:59:00.000Z,LIPE4,AZ,A
6,2019-06-26T00:00:00.000Z,2019-06-26T23:59:00.000Z,LIPE4,AZ,A
6,2019-06-27T00:00:00.000Z,2019-06-27T23:59:00.000Z,LIPE4,AZ,A
6,2019-06-28T00:00:00.000Z,2019-06-28T23:59:00.000Z,LIPE4,AZ,A
6,2019-06-29T00:00:00.000Z,2019-06-29T23:59:00.000Z,LIPE4,AZ,A
6,2019-06-30T00:00:00.000Z,2019-06-30T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-01T00:00:00.000Z,2019-07-01T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-02T00:00:00.000Z,2019-07-02T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-03T00:00:00.000Z,2019-07-03T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-04T00:00:00.000Z,2019-07-04T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-05T00:00:00.000Z,2019-07-05T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-06T00:00:00.000Z,2019-07-06T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-07T00:00:00.000Z,2019-07-07T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-08T00:00:00.000Z,2019-07-08T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-09T00:00:00.000Z,2019-07-09T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-10T00:00:00.000Z,2019-07-10T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-11T00:00:00.000Z,2019-07-11T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-12T00:00:00.000Z,2019-07-12T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-13T00:00:00.000Z,2019-07-13T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-14T00:00:00.000Z,2019-07-14T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-15T00:00:00.000Z,2019-07-15T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-16T00:00:00.000Z,2019-07-16T23:59:00.000Z,LIPE4,AZ,A
6,2019-07-17T00:00:00.000Z,2019-07-17T23:59:00.000Z,LIPE4,AZ,A
0,2019-06-20T00:00:00.000Z,2019-06-20T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-06-21T00:00:00.000Z,2019-06-21T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-06-22T00:00:00.000Z,2019-06-22T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-06-23T00:00:00.000Z,2019-06-23T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-06-24T00:00:00.000Z,2019-06-24T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-06-25T00:00:00.000Z,2019-06-25T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-06-26T00:00:00.000Z,2019-06-26T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-06-27T00:00:00.000Z,2019-06-27T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-06-28T00:00:00.000Z,2019-06-28T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-06-29T00:00:00.000Z,2019-06-29T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-06-30T00:00:00.000Z,2019-06-30T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-01T00:00:00.000Z,2019-07-01T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-02T00:00:00.000Z,2019-07-02T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-03T00:00:00.000Z,2019-07-03T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-04T00:00:00.000Z,2019-07-04T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-05T00:00:00.000Z,2019-07-05T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-06T00:00:00.000Z,2019-07-06T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-07T00:00:00.000Z,2019-07-07T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-08T00:00:00.000Z,2019-07-08T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-09T00:00:00.000Z,2019-07-09T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-10T00:00:00.000Z,2019-07-10T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-11T00:00:00.000Z,2019-07-11T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-12T00:00:00.000Z,2019-07-12T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-13T00:00:00.000Z,2019-07-13T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-14T00:00:00.000Z,2019-07-14T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-15T00:00:00.000Z,2019-07-15T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-16T00:00:00.000Z,2019-07-16T23:59:00.000Z,LIRSTR1,AZ,G
0,2019-07-17T00:00:00.000Z,2019-07-17T23:59:00.000Z,LIRSTR1,AZ,G
24,2019-06-20T00:00:00.000Z,2019-06-20T23:59:00.000Z,LYBE,AD,G
24,2019-06-21T00:00:00.000Z,2019-06-21T23:59:00.000Z,LYBE,AD,G
24,2019-06-22T00:00:00.000Z,2019-06-22T23:59:00.000Z,LYBE,AD,G
24,2019-06-23T00:00:00.000Z,2019-06-23T23:59:00.000Z,LYBE,AD,G
24,2019-06-24T00:00:00.000Z,2019-06-24T23:59:00.000Z,LYBE,AD,G
24,2019-06-25T00:00:00.000Z,2019-06-25T23:59:00.000Z,LYBE,AD,G
24,2019-06-26T00:00:00.000Z,2019-06-26T23:59:00.000Z,LYBE,AD,G
24,2019-06-27T00:00:00.000Z,2019-06-27T23:59:00.000Z,LYBE,AD,G
24,2019-06-28T00:00:00.000Z,2019-06-28T23:59:00.000Z,LYBE,AD,G
24,2019-06-29T00:00:00.000Z,2019-06-29T23:59:00.000Z,LYBE,AD,G
24,2019-06-30T00:00:00.000Z,2019-06-30T23:59:00.000Z,LYBE,AD,G
24,2019-07-01T00:00:00.000Z,2019-07-01T23:59:00.000Z,LYBE,AD,G
24,2019-07-02T00:00:00.000Z,2019-07-02T23:59:00.000Z,LYBE,AD,G
24,2019-07-03T00:00:00.000Z,2019-07-03T23:59:00.000Z,LYBE,AD,G
24,2019-07-04T00:00:00.000Z,2019-07-04T23:59:00.000Z,LYBE,AD,G
24,2019-07-05T00:00:00.000Z,2019-07-05T23:59:00.000Z,LYBE,AD,G
24,2019-07-06T00:00:00.000Z,2019-07-06T23:59:00.000Z,LYBE,AD,G
24,2019-07-07T00:00:00.000Z,2019-07-07T23:59:00.000Z,LYBE,AD,G
24,2019-07-08T00:00:00.000Z,2019-07-08T23:59:00.000Z,LYBE,AD,G
24,2019-07-09T00:00:00.000Z,2019-07-09T23:59:00.000Z,LYBE,AD,G
24,2019-07-10T00:00:00.000Z,2019-07-10T23:59:00.000Z,LYBE,AD,G
24,2019-07-11T00:00:00.000Z,2019-07-11T23:59:00.000Z,LYBE,AD,G
24,2019-07-12T00:00:00.000Z,2019-07-12T23:59:00.000Z,LYBE,AD,G
24,2019-07-13T00:00:00.000Z,2019-07-13T23:59:00.000Z,LYBE,AD,G
24,2019-07-14T00:00:00.000Z,2019-07-14T23:59:00.000Z,LYBE,AD,G
24,2019-07-15T00:00:00.000Z,2019-07-15T23:59:00.000Z,LYBE,AD,G
24,2019-07-16T00:00:00.000Z,2019-07-16T23:59:00.000Z,LYBE,AD,G
24,2019-07-17T00:00:00.000Z,2019-07-17T23:59:00.000Z,LYBE,AD,G
3,2019-06-20T00:00:00.000Z,2019-06-20T23:59:00.000Z,LEMH,AD,D
3,2019-06-21T00:00:00.000Z,2019-06-21T23:59:00.000Z,LEMH,AD,D
3,2019-06-22T00:00:00.000Z,2019-06-22T23:59:00.000Z,LEMH,AD,D
3,2019-06-23T00:00:00.000Z,2019-06-23T23:59:00.000Z,LEMH,AD,D
3,2019-06-24T00:00:00.000Z,2019-06-24T23:59:00.000Z,LEMH,AD,D
3,2019-06-25T00:00:00.000Z,2019-06-25T23:59:00.000Z,LEMH,AD,D
3,2019-06-26T00:00:00.000Z,2019-06-26T23:59:00.000Z,LEMH,AD,D
3,2019-06-27T00:00:00.000Z,2019-06-27T23:59:00.000Z,LEMH,AD,D
3,2019-06-28T00:00:00.000Z,2019-06-28T23:59:00.000Z,LEMH,AD,D
3,2019-06-29T00:00:00.000Z,2019-06-29T23:59:00.000Z,LEMH,AD,D
3,2019-06-30T00:00:00.000Z,2019-06-30T23:59:00.000Z,LEMH,AD,D
3,2019-07-01T00:00:00.000Z,2019-07-01T23:59:00.000Z,LEMH,AD,D
3,2019-07-02T00:00:00.000Z,2019-07-02T23:59:00.000Z,LEMH,AD,D
3,2019-07-03T00:00:00.000Z,2019-07-03T23:59:00.000Z,LEMH,AD,D
3,2019-07-04T00:00:00.000Z,2019-07-04T23:59:00.000Z,LEMH,AD,D
3,2019-07-05T00:00:00.000Z,2019-07-05T23:59:00.000Z,LEMH,AD,D
3,2019-07-06T00:00:00.000Z,2019-07-06T23:59:00.000Z,LEMH,AD,D
3,2019-07-07T00:00:00.000Z,2019-07-07T23:59:00.000Z,LEMH,AD,D
3,2019-07-08T00:00:00.000Z,2019-07-08T23:59:00.000Z,LEMH,AD,D
3,2019-07-09T00:00:00.000Z,2019-07-09T23:59:00.000Z,LEMH,AD,D
3,2019-07-10T00:00:00.000Z,2019-07-10T23:59:00.000Z,LEMH,AD,D
3,2019-07-11T00:00:00.000Z,2019-07-11T23:59:00.000Z,LEMH,AD,D
3,2019-07-12T00:00:00.000Z,2019-07-12T23:59:00.000Z,LEMH,AD,D
3,2019-07-13T00:00:00.000Z,2019-07-13T23:59:00.000Z,LEMH,AD,D
3,2019-07-14T00:00:00.000Z,2019-07-14T23:59:00.000Z,LEMH,AD,D
3,2019-07-15T00:00:00.000Z,2019-07-15T23:59:00.000Z,LEMH,AD,D
3,2019-07-16T00:00:00.000Z,2019-07-16T23:59:00.000Z,LEMH,AD,D
3,2019-07-17T00:00:00.000Z,2019-07-17T23:59:00.000Z,LEMH,AD,D
3,2019-06-20T00:00:00.000Z,2019-06-20T23:59:00.000Z,LFBE,AD,A
3,2019-06-21T00:00:00.000Z,2019-06-21T23:59:00.000Z,LFBE,AD,A
3,2019-06-22T00:00:00.000Z,2019-06-22T23:59:00.000Z,LFBE,AD,A
3,2019-06-23T00:00:00.000Z,2019-06-23T23:59:00.000Z,LFBE,AD,A
3,2019-06-24T00:00:00.000Z,2019-06-24T23:59:00.000Z,LFBE,AD,A
3,2019-06-25T00:00:00.000Z,2019-06-25T23:59:00.000Z,LFBE,AD,A
3,2019-06-26T00:00:00.000Z,2019-06-26T23:59:00.000Z,LFBE,AD,A
3,2019-06-27T00:00:00.000Z,2019-06-27T23:59:00.000Z,LFBE,AD,A
3,2019-06-28T00:00:00.000Z,2019-06-28T23:59:00.000Z,LFBE,AD,A
3,2019-06-29T00:00:00.000Z,2019-06-29T23:59:00.000Z,LFBE,AD,A
3,2019-06-30T00:00:00.000Z,2019-06-30T23:59:00.000Z,LFBE,AD,A
3,2019-07-01T00:00:00.000Z,2019-07-01T23:59:00.000Z,LFBE,AD,A
3,2019-07-02T00:00:00.000Z,2019-07-02T23:59:00.000Z,LFBE,AD,A
3,2019-07-03T00:00:00.000Z,2019-07-03T23:59:00.000Z,LFBE,AD,A
3,2019-07-04T00:00:00.000Z,2019-07-04T23:59:00.000Z,LFBE,AD,A
3,2019-07-05T00:00:00.000Z,2019-07-05T23:59:00.000Z,LFBE,AD,A
3,2019-07-06T00:00:00.000Z,2019-07-06T23:59:00.000Z,LFBE,AD,A
3,2019-07-07T00:00:00.000Z,2019-07-07T23:59:00.000Z,LFBE,AD,A
3,2019-07-08T00:00:00.000Z,2019-07-08T23:59:00.000Z,LFBE,AD,A
3,2019-07-09T00:00:00.000Z,2019-07-09T23:59:00.000Z,LFBE,AD,A
3,2019-07-10T00:00:00.000Z,2019-07-10T23:59:00.000Z,LFBE,AD,A
3,2019-07-11T00:00:00.000Z,2019-07-11T23:59:00.000Z,LFBE,AD,A
3,2019-07-12T00:00:00.000Z,2019-07-12T23:59:00.000Z,LFBE,AD,A
3,2019-07-13T00:00:00.000Z,2019-07-13T23:59:00.000Z,LFBE,AD,A
3,2019-07-14T00:00:00.000Z,2019-07-14T23:59:00.000Z,LFBE,AD,A
3,2019-07-15T00:00:00.000Z,2019-07-15T23:59:00.000Z,LFBE,AD,A
3,2019-07-16T00:00:00.000Z,2019-07-16T23:59:00.000Z,LFBE,AD,A
3,2019-07-17T00:00:00.000Z,2019-07-17T23:59:00.000Z,LFBE,AD,A
120,2019-06-20T00:00:00.000Z,2019-06-20T23:59:00.000Z,LFPG,AD,G
120,2019-06-21T00:00:00.000Z,2019-06-21T23:59:00.000Z,LFPG,AD,G
120,2019-06-22T00:00:00.000Z,2019-06-22T23:59:00.000Z,LFPG,AD,G
120,2019-06-23T00:00:00.000Z,2019-06-23T23:59:00.000Z,LFPG,AD,G
120,2019-06-24T00:00:00.000Z,2019-06-24T23:59:00.000Z,LFPG,AD,G
120,2019-06-25T00:00:00.000Z,2019-06-25T23:59:00.000Z,LFPG,AD,G
120,2019-06-26T00:00:00.000Z,2019-06-26T23:59:00.000Z,LFPG,AD,G
120,2019-06-27T00:00:00.000Z,2019-06-27T23:59:00.000Z,LFPG,AD,G
120,2019-06-28T00:00:00.000Z,2019-06-28T23:59:00.000Z,LFPG,AD,G
120,2019-06-29T00:00:00.000Z,2019-06-29T23:59:00.000Z,LFPG,AD,G
120,2019-06-30T00:00:00.000Z,2019-06-30T23:59:00.000Z,LFPG,AD,G
120,2019-07-01T00:00:00.000Z,2019-07-01T23:59:00.000Z,LFPG,AD,G
120,2019-07-02T00:00:00.000Z,2019-07-02T23:59:00.000Z,LFPG,AD,G
120,2019-07-03T00:00:00.000Z,2019-07-03T23:59:00.000Z,LFPG,AD,G
120,2019-07-04T00:00:00.000Z,2019-07-04T23:59:00.000Z,LFPG,AD,G
120,2019-07-05T00:00:00.000Z,2019-07-05T23:59:00.000Z,LFPG,AD,G
120,2019-07-06T00:00:00.000Z,2019-07-06T23:59:00.000Z,LFPG,AD,G
120,2019-07-07T00:00:00.000Z,2019-07-07T23:59:00.000Z,LFPG,AD,G
120,2019-07-08T00:00:00.000Z,2019-07-08T23:59:00.000Z,LFPG,AD,G
120,2019-07-09T00:00:00.000Z,2019-07-09T23:59:00.000Z,LFPG,AD,G
120,2019-07-10T00:00:00.000Z,2019-07-10T23:59:00.000Z,LFPG,AD,G
120,2019-07-11T00:00:00.000Z,2019-07-11T23:59:00.000Z,LFPG,AD,G
120,2019-07-12T00:00:00.000Z,2019-07-12T23:59:00.000Z,LFPG,AD,G
120,2019-07-13T00:00:00.000Z,2019-07-13T23:59:00.000Z,LFPG,AD,G
120,2019-07-14T00:00:00.000Z,2019-07-14T23:59:00.000Z,LFPG,AD,G
120,2019-07-15T00:00:00.000Z,2019-07-15T23:59:00.000Z,LFPG,AD,G
120,2019-07-16T00:00:00.000Z,2019-07-16T23:59:00.000Z,LFPG,AD,G
120,2019-07-17T00:00:00.000Z,2019-07-17T23:59:00.000Z,LFPG,AD,G
0,2019-06-20T00:00:00.000Z,2019-06-20T23:59:00.000Z,LIB2,AZ,D
0,2019-06-21T00:00:00.000Z,2019-06-21T23:59:00.000Z,LIB2,AZ,D
0,2019-06-22T00:00:00.000Z,2019-06-22T23:59:00.000Z,LIB2,AZ,D
0,2019-06-23T00:00:00.000Z,2019-06-23T23:59:00.000Z,LIB2,AZ,D
0,2019-06-24T00:00:00.000Z,2019-06-24T23:59:00.000Z,LIB2,AZ,D
0,2019-06-25T00:00:00.000Z,2019-06-25T23:59:00.000Z,LIB2,AZ,D
0,2019-06-26T00:00:00.000Z,2019-06-26T23:59:00.000Z,LIB2,AZ,D
0,2019-06-27T00:00:00.000Z,2019-06-27T23:59:00.000Z,LIB2,AZ,D
0,2019-06-28T00:00:00.000Z,2019-06-28T23:59:00.000Z,LIB2,AZ,D
0,2019-06-29T00:00:00.000Z,2019-06-29T23:59:00.000Z,LIB2,AZ,D
0,2019-06-30T00:00:00.000Z,2019-06-30T23:59:00.000Z,LIB2,AZ,D
0,2019-07-01T00:00:00.000Z,2019-07-01T23:59:00.000Z,LIB2,AZ,D
0,2019-07-02T00:00:00.000Z,2019-07-02T23:59:00.000Z,LIB2,AZ,D
0,2019-07-03T00:00:00.000Z,2019-07-03T23:59:00.000Z,LIB2,AZ,D
0,2019-07-04T00:00:00.000Z,2019-07-04T23:59:00.000Z,LIB2,AZ,D
0,2019-07-05T00:00:00.000Z,2019-07-05T23:59:00.000Z,LIB2,AZ,D
0,2019-07-06T00:00:00.000Z,2019-07-06T23:59:00.000Z,LIB2,AZ,D
0,2019-07-07T00:00:00.000Z,2019-07-07T23:59:00.000Z,LIB2,AZ,D
